business_name,niche,city,country,phone,email,website,google_rating,review_count,running_ads,score,tier,date_scraped,status,sequence_step,last_contact_date,conversation_history,top_competitor
Abu Dhabi OFW,Dentist,Abu Dhabi,UAE,+971 56 963 7454,aspen@aspen-dentalclinic.ae,https://abudhabiofw.com/dental-clinics-abu-dhabi/,,,,25,C,2026-08-11,,,,,
Medarabia,Dentist,Abu Dhabi,UAE,760116824766172,med@edarabia.com,https://m.edarabia.com/doctors/sp/dentist/in/abu-dhabi/,,2,,25,C,2026-08-11,,,,,
Restaurant Guru,Restaurant,Abu Dhabi,UAE,203347401027236,,https://restaurantguru.com/Abu-Dhabi,,,,15,C,2026-08-11,,,,,
Dining,Restaurant,Abu Dhabi,UAE,639216288193064,,https://www.wbworldabudhabi.com/en/dining,,,,15,C,2026-08-11,,,,,
Abu Dhabi Best Restaurants,Restaurant,Abu Dhabi,UAE,1781791509496,,https://www.top25restaurants.com/united-arab-emirates/abu-dhabi/,,,,15,C,2026-08-11,,,,,
"Best Dental Clinics Near Me in Abu Dhabi, Abu Dhabi",Dentist,Abu Dhabi,UAE,745103282358188,,https://www.practo.com/abu-dhabi/clinics/dental-clinics/abu-dhabi,,,,15,C,2026-08-11,,,,,
Challenge Validation,Restaurant,Abu Dhabi,UAE,,,https://us.trip.com/toplist/tripbest/recommend/abu-dhabi/must-visit-restaurants/100900014295/,,,,10,C,2026-08-11,,,,,
"Best Dentists in Tampa, FL (2026)",Dentist,Tampa FL,USA,1-4901-9130-0443,,https://doctor.webmd.com/providers/specialty/dentistry/florida/tampa,,915,,40,B,2026-08-11,Contacted,1,2026-08-14,,
Bright Now! Dental & Orthodontics,Dentist,Tampa FL,USA,379.657 598.964,,https://www.brightnow.com/dental-office/tampa-dentist/21220/,4.2,34,,35,C,2026-08-11,,,,,
LocalFats,Restaurant,Tampa FL,USA,714.163 519.284,info@getrawmilk.com,"https://localfats.com/social/instagram/Tampa,+FL",,,,25,C,2026-08-11,,,,,
Family Destinations Guide,Restaurant,Tampa FL,USA,120418965978864,advertise@familydestinationsguide.com,https://familydestinationsguide.com/best-lunch-in-tampa-fl/,,,,25,C,2026-08-11,,,,,
Tampa Restaurants and Places to Eat,Restaurant,Tampa FL,USA,63-4512-9267-0009,adepiro@visittampabay.com,https://www.visittampabay.com/food-and-drink/,,,,25,C,2026-08-11,,,,,
null,Restaurant,Tampa FL,USA,104436171533701,info@riveterstampa.com,https://riveterstampa.com/,,,,25,C,2026-08-11,,,,,
Feastio,Restaurant,Tampa FL,USA,74-4377-9420-440,dave@feastio.com,https://feastio.com/best-places-to-eat-tampa/,,,,25,C,2026-08-11,,,,,
"The Best Restaurants and Deals Near Tampa, Florida",Restaurant,Tampa FL,USA,386394042068835,your@email.com,https://www.restaurant.com/restaurants-near-tampa-fl-us,,,,25,C,2026-08-11,,,,,
Guided by Destiny,Restaurant,Tampa FL,USA,979523772482681,destiny@guidedbydestiny.com,https://www.guidedbydestiny.com/best-restaurants-in-tampa/,,,,25,C,2026-08-11,,,,,
Tampa Magazine,Restaurant,Tampa FL,USA,(813) 600-4000,info@tampamagazines.com,https://tampamagazines.com/best-restaurants-list/,,,,25,C,2026-08-11,,,,,
The Adventurist Magazine,Restaurant,Tampa FL,USA,314192535267336,brandonlchase@gmail.com,https://www.theadventuristmagazine.com/city-guides/florida/tampa-best-restaurants,,,,25,C,2026-08-11,,,,,
Rusty Pelican Tampa,Restaurant,Tampa FL,USA,66-4209-9543-1728,ef5d9bbac3354b759bfd7a23c3313b3f@o244637.ingest.us.sentry.io,https://www.therustypelicantampa.com/,0.1,,,25,C,2026-08-11,,,,,
The Infatuation,Restaurant,Tampa FL,USA,101 32.5383 139,support@theinfatuation.com,https://www.theinfatuation.com/tampa/guides/best-restaurants-tampa,,,,25,C,2026-08-11,,,,,
Time Out United States,Restaurant,Tampa FL,USA,152 62.3196 187,hello@timeout.com,https://www.timeout.com/usa/restaurants/best-restaurants-in-tampa,,,,25,C,2026-08-11,,,,,
Old Castle Restaurant,Restaurant,Tampa FL,USA,257418895284851,,https://www.oldcastlerestaurant.com/,,,,15,C,2026-08-11,,,,,
Rhino88,Restaurant,Tampa FL,USA,+62-000-0000-0000,,https://warmandcozyrestaurants.net/tampa-fl/,,,,15,C,2026-08-11,,,,,
Southern Living,Restaurant,Tampa FL,USA,2544345-4156-4628,,https://www.southernliving.com/best-restaurants-in-tampa-florida-11697686,,,,15,C,2026-08-11,,,,,
McCool Travel,Restaurant,Tampa FL,USA,100063617978348,,https://www.mccooltravel.com/best-tampa-restaurants/,,,,15,C,2026-08-11,,,,,
Tebra,Dentist,Tampa FL,USA,083901150458389,,https://www.tebra.com/care/dentists/tampa-fl/,,,,15,C,2026-08-11,,,,,
"20 Best Dentists Near Me in Tampa, FL",Dentist,Tampa FL,USA,123690647667832,,https://www.opencare.com/dentists/tampa-fl/,,31,,15,C,2026-08-11,,,,,
Serenity Dental Arts,Dentist,Denver CO,USA,+1-303-458-7051,office@serenitydentalartsdenver.com,https://www.serenitydentalartsdenver.com/,4.8,,,45,B,2026-08-13,Contacted,1,2026-08-16,,Denver Highlands Dentist
Applewood Plumbing,Plumber,Denver CO,USA,156309783702223,custservice@applewoodfixit.com,https://www.applewoodfixit.com/,4.8,,,45,B,2026-08-13,Contacted,1,2026-08-16,,"Plumber near Denver, CO"
Spectrum Dental Group,Dentist,Denver CO,USA,100113355908656,spectrumdental6660@gmail.com,https://spectrumdent.com/,,97,,40,B,2026-08-13,Contacted,1,2026-08-16,,Low
Roto-Rooter Plumbing & Water Cleanup,Plumber,Denver CO,USA,00489.3105.0058,,https://www.rotorooter.com/denver/,,368,,40,B,2026-08-13,Contacted,1,2026-08-16,,"Plumber near Denver, CO"
Denver Emergency Dental Care USA,Dentist,Denver CO,USA,163941147001941,,https://emergencydental.com/denver/,4.8,,,35,C,2026-08-13,New,,,,Low
HomeGuide,Plumber,Denver CO,USA,172963725666840,,https://homeguide.com/co/denver/plumbers/,4.5,,,35,C,2026-08-13,New,,,,"Plumber near Denver, CO"
Best Dentist  Denver CO,Dentist,Denver CO,USA,128592637863916,,https://www.doctor-oogle.com/?metro=denver,,58,,30,C,2026-08-13,New,,,,Denver Highlands Dentist
Cozymeal,Restaurant,Denver CO,USA,133954929700173,example@xyz.com,https://www.cozymeal.com/magazine/steak-restaurants-in-denver,,,,25,C,2026-08-13,New,,,,"Denver, CO"
Benihana,Restaurant,Denver CO,USA,+1 (646) 624-2400,customerservice@benihana.com,https://www.benihana.com/locations/denver/,,,,25,C,2026-08-13,New,,,,"Denver, CO"
Delicious Denver Food Tours,Restaurant,Denver CO,USA,552.039.945.945,info@deliciousdenverfoodtours.com,https://www.deliciousdenverfoodtours.com/blogs/denvers-romantic-restaurants/,,,,25,C,2026-08-13,New,,,,Best Denver Restaurants 2026
Diners Drive-Ins and Dives Locations,Restaurant,Denver CO,USA,720-328-8328,contact@dinersdriveinsdiveslocations.com,https://www.dinersdriveinsdiveslocations.com/colorado-locations.html,,,,25,C,2026-08-13,New,,,,Best Denver Restaurants 2026
Denver Westword,Restaurant,Denver CO,USA,1760135263567,advertising@westword.com,https://www.westword.com/food-drink/50-best-restaurants-in-denver-colorado-40816237/,,,,25,C,2026-08-13,New,,,,Best Denver Restaurants 2026
Corinne Denver,Restaurant,Denver CO,USA,32.4725.0007.0007,forms@tambourine.com,https://www.corinnedenver.com/,,,,25,C,2026-08-13,New,,,,"The best restaurants for group dining in Denver, Colorado."
Best Restaurants in Denver​,Restaurant,Denver CO,USA,4682641-6839-4092,digital@sbcos.com,https://www.rangedowntown.com/,,,,25,C,2026-08-13,New,,,,"The best restaurants for group dining in Denver, Colorado."
Denver Dentists,Dentist,Denver CO,USA,898595203796892,info@cc-familydentistry.com,https://cc-familydentistry.com/,,,,25,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
"Best Dentists Near Me in Denver, Colorado",Dentist,Denver CO,USA,(303) 296-1402,evzdds@yahoo.com,https://www.deltadental.com/member/find-a-dentist/colorado/denver-dentists/,,,,25,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
"Modern Dentist in Denver, CO",Dentist,Denver CO,USA,714.163 519.284,email@address.com,https://www.thedenverdentists.com/,,,,25,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
Hampden Dentistry & Orthodontics,Dentist,Denver CO,USA,+1-303-930-8888,info@hampdendentist.com,https://hampdendentist.com/,,,,25,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
Smile Studio Dental,Dentist,Denver CO,USA,369952607397726,frontoffice@smilestudiodenver.com,https://www.smilestudiodenver.com/,,,,25,C,2026-08-13,New,,,,Denver Highlands Dentist
Open & Affordable,Dentist,Denver CO,USA,635-8505-3391-9791,18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,https://www.openandaffordable.com/,,9,,25,C,2026-08-13,New,,,,Denver Highlands Dentist
"Dentist Denver, CO",Dentist,Denver CO,USA,002212019912976,u0022denverhighlanddental@gmail.com,https://www.denverhighlanddental.com/,,0022,,25,C,2026-08-13,New,,,,Denver Highlands Dentist
TopRatedDentist.com,Dentist,Denver CO,USA,1637071091864,hi@toprateddentist.com,https://www.toprateddentist.com/dentists/denver-co/,,000,,25,C,2026-08-13,New,,,,Denver Highlands Dentist
Lowry Advanced Dentistry,Dentist,Denver CO,USA,(303) 333-5148,info@denverdental.com,https://www.denverdental.com/,,,,25,C,2026-08-13,New,,,,Denver Highlands Dentist
"6 Top Rated Dentists In Denver, Colorado",Dentist,Denver CO,USA,201402853581808,info@topratedexperts.com,https://topratedexperts.com/business/Colorado/Denver/dentists-near-me,,5,,25,C,2026-08-13,New,,,,Denver Highlands Dentist
Colorado Dental Association,Dentist,Denver CO,USA,000081803053914,amanda@cdaonline.org,https://cdaonline.org/welcome/lowcostcare/lowfee/,,,,25,C,2026-08-13,New,,,,Low
CU Anschutz Dental Clinics Screening Appointment,Dentist,Denver CO,USA,173828204564541,cudt@cuanschutz.edu,https://dental.cuanschutz.edu/patient-care,,,,25,C,2026-08-13,New,,,,Low
Low Income Dental Care,Dentist,Denver CO,USA,(303) 724-6942,mdds@mddsdentist.com,https://mddsdentist.com/public-resources/low-income-dental-care/,,,,25,C,2026-08-13,New,,,,Low
All for One Dental Implants Denver,Dentist,Denver CO,USA,009 204.689-259,office@downingstreetdental.com,https://www.downingstreetdental.com/,,,,25,C,2026-08-13,New,,,,Low
Emergency Dental of Denver,Dentist,Denver CO,USA,(303)-848-3311,contactus@emergencydentalofamerica.com,https://emergencydentalofdenver.com/,,,,25,C,2026-08-13,New,,,,Low
Rooter66,Plumber,Denver CO,USA,842 750 829 737,rooter66plumbing21@gmail.com,https://rooter66.com/trusted-residential-commercial-plumbing-services-in-broomfield-northglenn-thornton-westminster-the-greater-denver-area/,,,,25,C,2026-08-13,New,,,,"Plumber near Denver, CO"
5 Estimates,Plumber,Denver CO,USA,151788992200040,info@5estimates.com,https://5estimates.com/plumber-cost-denver-co/,,,,25,C,2026-08-13,New,,,,"Plumber near Denver, CO"
Culinary Dropout,Restaurant,Denver CO,USA,051.152.152.152,,https://www.culinarydropout.com/locations/denver-co/,,,,15,C,2026-08-13,New,,,,"Denver, CO"
Denver Restaurants & Nightlife,Restaurant,Denver CO,USA,14-9440-4039-8844,,https://visitdenver.com/food-drink/,,,,15,C,2026-08-13,New,,,,"Denver, CO"
Eater Denver,Restaurant,Denver CO,USA,450701784422809,,https://denver.eater.com/,,,,15,C,2026-08-13,New,,,,"Denver, CO"
Nomadic Foodist,Restaurant,Denver CO,USA,264453626735223,,https://nomadicfoodist.com/top-10-restaurants-in-denver-colorado/,,,,15,C,2026-08-13,New,,,,"Denver, CO"
"Tavernetta | Italian Restaurant in Denver, CO",Restaurant,Denver CO,USA,135161460073086,,https://www.tavernettadenver.com/,,,,15,C,2026-08-13,New,,,,"Denver, CO"
"Mercantile Denver | American Restaurant in Denver, CO",Restaurant,Denver CO,USA,186087876250055,,https://www.mercantiledenver.com/,,,,15,C,2026-08-13,New,,,,"Denver, CO"
True Food Kitchen,Restaurant,Denver CO,USA,999999999999999,,https://www.truefoodkitchen.com/locations/cherry-creek/,,,,15,C,2026-08-13,New,,,,Best Denver Restaurants 2026
South Broadway Restaurants,Restaurant,Denver CO,USA,353.354.707.707,,https://www.groupon.com/local/denver/south-broadway/restaurants,,,,15,C,2026-08-13,New,,,,Best Denver Restaurants 2026
Denver Restaurant Week,Restaurant,Denver CO,USA,803.4524.2578.7174,,https://denverrestaurantweek.com/,,,,15,C,2026-08-13,New,,,,Best Denver Restaurants 2026
Adobo Restaurant & Bar,Restaurant,Denver CO,USA,+1 720-242-9994,,https://adoborestaurantbar.eatspots.us/,,,,15,C,2026-08-13,New,,,,"The best restaurants for group dining in Denver, Colorado."
The Bindery Denver,Restaurant,Denver CO,USA,(303) 993-2364,,https://thebinderydenver.com/,,,,15,C,2026-08-13,New,,,,"The best restaurants for group dining in Denver, Colorado."
"The Corner Office | Restaurant & Martini Bar in Denver, CO",Restaurant,Denver CO,USA,211384538867033,,https://www.thecornerofficedenver.com/,,,,15,C,2026-08-13,New,,,,"The best restaurants for group dining in Denver, Colorado."
Dentist Office Locations in Denver,Dentist,Denver CO,USA,33-4990-9061-1960,,https://www.denverhealth.org/services/dental-care/locations,,,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
Comfort Dental,Dentist,Denver CO,USA,029232229312235,,https://comfortdental.com/office/co-denver-downtown/,,,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
"Dentist in Denver, CO",Dentist,Denver CO,USA,(720) 440-9296,,https://www.pearldentistrydenver.com/,,,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
Denver Highlands Dentist,Dentist,Denver CO,USA,293278171079428,,https://www.ogdentaldenver.com/,,8,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
The Dentistry Place,Dentist,Denver CO,USA,221.145 106.244,,https://www.thedentistryplacedenver.com/,,,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
Local Dentist Office in Denver CO,Dentist,Denver CO,USA,131420345474730,,https://www.dentistsofcentralpark.com/,,,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
Corson Dentistry,Dentist,Denver CO,USA,+1-720-619-0008,,https://www.corsondentistry.com/,,,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
Station Dental Group,Dentist,Denver CO,USA,96.8981 108.551,,https://stationdentalgroup.com/,,,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
Almeida & Bell Dental,Dentist,Denver CO,USA,116.173 116.173,,https://www.almeidabelldental.com/dentist-denver/,,,,15,C,2026-08-13,New,,,,Cherry Creek Family Dentistry: Expert Dentists in Denver
"RiNo Dental: General and Cosmetic Dentistry: Denver, CO",Dentist,Denver CO,USA,+1 303-292-3120,,https://www.rinodental.com/,,3,,15,C,2026-08-13,New,,,,Denver Highlands Dentist
Metro Dental Care - Denver Dentist,Dentist,Denver CO,USA,(303) 534-2626,,https://metrodentalcare.com/,,,,15,C,2026-08-13,New,,,,Denver Highlands Dentist
Urgent Dental of Denver,Dentist,Denver CO,USA,933441597675291,,https://www.urgentdentalofdenver.com/,,,,15,C,2026-08-13,New,,,,Low
Dental Care,Dentist,Denver CO,USA,896-0390-194284,,https://www.innercityhealth.org/services/dental-care,,,,15,C,2026-08-13,New,,,,Low
Colorado Mission of Mercy,Dentist,Denver CO,USA,719-422-8810 303,,https://comom.org/low-fee-dentistry/,,,,15,C,2026-08-13,New,,,,Low
"Doctor Fix-It Plumbing, Heating, Cooling & Electric",Plumber,Denver CO,USA,111.033 248 248,,https://www.calldoctorfixit.com/plumbing-service-area-denver-co/,,,,15,C,2026-08-13,New,,,,"Plumber near Denver, CO"
"Plumbing in Denver, Colorado",Plumber,Denver CO,USA,466.815 2160 2160,,https://plumbing-denver-colorado.victorharborwebdesign.com/all/emergency-plumber,,,,15,C,2026-08-13,New,,,,"Plumber near Denver, CO"
Team Dave Logan,Plumber,Denver CO,USA,127268088490244,,https://teamdavelogan.com/company-categories/plumbing-contractor-denver-co/,,,,15,C,2026-08-13,New,,,,"Plumber near Denver, CO"
Spice City Restaurant,Restaurant,Liverpool,UK,+44 151 236 4443,info@spicecity.co.uk,https://spicecity.co.uk/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,The 10 Best Restaurants in Liverpool 2026
Piazza Italiana,Restaurant,Liverpool,UK,+44-20-7256-7223,reservations@piazzaitaliana.co.uk,https://piazzaitaliana.co.uk/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,The 10 Best Restaurants in Liverpool 2026
DesignMyNight,Restaurant,Liverpool,UK,583-138-1606 1004,katie@designmynight.com,https://www.designmynight.com/london/restaurants-liverpool-street,,4,,25,C,2026-08-13,Contacted,1,2026-08-16,,The 10 Best Restaurants in Liverpool 2026
Italian Restaurant Near Liverpool Street & Old Street,Restaurant,Liverpool,UK,142-6627-4382-9044,amore@bigmamma.com,https://www.bigmammagroup.com/italian-restaurant-near-liverpool,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,The 10 Best Restaurants in Liverpool 2026
Pub & Restaurant near Liverpool Street at The Astronomer,Restaurant,Liverpool,UK,160221303997238,astronomer@fullers.co.uk,https://www.theastronomerpub.co.uk/food/main-menu,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,The 10 Best Restaurants in Liverpool 2026
CN Traveller,Restaurant,Liverpool,UK,008.027.008.004,complaints@condenast.co.uk,https://www.cntraveller.com/gallery/best-restaurants-liverpool,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
British GQ,Restaurant,Liverpool,UK,+44 20 7152 3705,classgq@condenast.co.uk,https://www.gq-magazine.co.uk/article/liverpool-city-guide-best-restaurants,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
Good Food,Restaurant,Liverpool,UK,184306-19093258,goodfood@immediate.co.uk,https://www.bbcgoodfood.com/travel/uk/best-places-eat-liverpool,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
Gordon Ramsay Restaurants,Restaurant,Liverpool,UK,+1 (877) 346-4642,guestrelations@gordonramsay.com,https://www.gordonramsayrestaurants.com/restaurants-and-bars/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
Cavern Restaurant,Restaurant,Liverpool,UK,183305111022710,info@thecavernrestaurant.com,https://www.thecavernrestaurant.com/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
Gaucho Liverpool,Restaurant,Liverpool,UK,451130925973504,enquiries@gauchorestaurants.com,https://gauchorestaurants.com/restaurants/liverpool,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
"The Best Restaurants in East Liverpool, OH",Restaurant,Liverpool,UK,100069762859137,sturgishouse@gmail.com,https://www.thesturgishouse.com/restaurants.html,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
The Municipal Hotel & Spa Liverpool – MGallery,Restaurant,Liverpool,UK,475045476250404,030hb9e8@accor.com,https://www.municipalhotelliverpool.com/restaurants-bars/seaforth-restaurant/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
Fogo Brazil,Restaurant,Liverpool,UK,1571390416892,liverpool@fogobrazil.co.uk,https://fogobrazil.co.uk/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
Best Indian Restaurant in Liverpool Fine Dining Restaurant,Restaurant,Liverpool,UK,103406965242912,info@ikkayees.co.uk,https://thegrandikkayees.co.uk/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Liverpool (Updated August 2026)
Bristol Live,Restaurant,Bristol,UK,015440420724022,bristolpost@trinitymirror.com,https://www.bristolpost.co.uk/whats-on/food-drink/16-best-independent-restaurants-bristol-8388254,4.8,,,60,A,2026-08-13,Contacted,1,2026-08-16,,"THE 10 BEST Restaurants Near Ramen Monster, Bristol"
Explore Bristol,Restaurant,Bristol,UK,(423) 212-3637,info@explorebristol.com,https://explorebristol.com/restaurants/,,,,40,B,2026-08-13,Contacted,1,2026-08-16,,"THE 10 BEST Restaurants Near Ramen Monster, Bristol"
SquareMeal,Restaurant,Bristol,UK,54545673187-2462,hello@squaremeal.co.uk,https://www.squaremeal.co.uk/restaurants/best-for/child-friendly-family-restaurants-bristol_10907,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,"THE 10 BEST Restaurants Near Ramen Monster, Bristol"
the Guardian,Restaurant,Bristol,UK,077.073.158.139,344003a8d11c41d8800fbad8383fdc50@o14302.ingest.us.sentry.io,https://www.theguardian.com/travel/2013/aug/30/destination-restaurants-britain-short-breaks,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,"THE 10 BEST Restaurants Near Ramen Monster, Bristol"
"Portside Tavern | The Best Local Restaurant in Bristol, RI",Restaurant,Bristol,UK,209055699970655,richie@portsidetavern.com,https://www.portsidetavern.com/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,"THE 10 BEST Restaurants Near Ramen Monster, Bristol"
Visit Bristol Borough,Restaurant,Bristol,UK,434972323707161,caffegiovannis@gmail.com,https://www.visitbristolborough.com/restaurants-and-bars,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,"THE 10 BEST Restaurants Near Ramen Monster, Bristol"
Get Lost In The USA,Restaurant,Bristol,UK,1781791509496,getlostintheusa@gmail.com,https://getlostintheusa.com/restaurants-in-bristol-tn-va/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,"THE 10 BEST Restaurants Near Ramen Monster, Bristol"
BostonGlobe.com,Restaurant,Bristol,UK,100063452659457,books@globe.com,https://www.bostonglobe.com/2024/07/01/metro/bristol-ri-dining-guide/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,Ramsay's Best Restaurant
Bristol Restaurants,Restaurant,Bristol,UK,3-7727-4388-8417,ahurd@discovernewport.org,https://www.discovernewport.org/restaurants/bristol/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,Ramsay's Best Restaurant
South West Mag – Explore Southwest UK,Restaurant,Bristol,UK,312873073850013,olivia@southwestmag.co.uk,https://www.southwestmag.co.uk/best-restaurant-in-bristol/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,Ramsay's Best Restaurant
Bristol Harbourside Restaurants & Bars,Restaurant,Bristol,UK,+44 20 7589 6300,bristol@doylecollection.com,https://www.doylecollection.com/hotels/the-bristol-hotel/dining,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Bristol (Updated July 2026)
Common Pub & Grille,Restaurant,Bristol,UK,635-8505-3391-9791,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.commonpubandgrille.com/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,THE 10 BEST Restaurants in Bristol (Updated July 2026)
"Dentist in Bristol, PA I Family & Emergency Dental Care",Dentist,Bristol,UK,(267) 554-7300,bristoldental1@gmail.com,http://www.bristol-dentalgroup.com/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,Bristol Park Dental
Dentist Bristol,Dentist,Bristol,UK,(860) 589-2794,bristolfamilydental@comcast.net,https://www.bristolfamilydentalct.com/,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,Bristol Park Dental
"Contact Our Bristol, CT Dental Office",Dentist,Bristol,UK,158477940878472,phgdentistry@outlook.com,https://www.phgdentistry.com/contact,,,,25,C,2026-08-13,Contacted,1,2026-08-16,,Bristol Park Dental
Best Glasgow Restaurants,Restaurant,Glasgow,UK,020 7839 4763,mail@hardens.com,https://www.hardens.com/restaurants/glasgow/,,2024,,50,B,2026-08-14,Contacted,1,2026-08-17,,My 36 Favourite Restaurants in Glasgow (As a Local)
Travel Lemming,Restaurant,Glasgow,UK,+044 141 221 1663,contact@travellemming.com,https://travellemming.com/restaurants-in-glasgow/,,,,25,C,2026-08-14,Contacted,1,2026-08-17,,The best restaurants in Glasgow for 2026
The Ivy Collection,Restaurant,Glasgow,UK,126.1763.125.4131,groupdining@theivy-collection.com,https://ivycollection.com/restaurants-near-me/the-ivy-scotland/the-ivy-glasgow/,,,,25,C,2026-08-14,Contacted,1,2026-08-17,,The best restaurants in Glasgow for 2026
